codigo_region,region,codigo_comuna,comuna,03/07/2020,03/30/2020,04/01/2020,04/03/2020,04/06/2020,0,04/08/2020,04/10/2020,04/13/2020,04/15/2020,0,04/17/2020,04/20/2020,04/24/2020,04/27/2020,0,04/30/2020,05/04/2020
13,Metropolitana,13501,Melipilla,0,6,8,9,11,0,12,16,17,19,0,25,35,40,48,0,74,110
13,Metropolitana,13120,Ñuñoa,0,67,84,93,107,0,118,155,171,188,0,217,240,269,291,0,329,365
13,Metropolitana,13604,Padre Hurtado,0,10,11,14,16,0,18,20,26,27,0,28,32,35,40,0,55,66
13,Metropolitana,13404,Paine,0,-,3,3,3,0,3,7,8,9,0,10,11,13,15,0,21,26
13,Metropolitana,13121,Pedro Aguirre Cerda,0,7,13,13,16,0,19,36,54,70,0,78,89,109,129,0,180,229
13,Metropolitana,13605,Peñaflor,0,10,13,13,18,0,18,20,25,26,0,29,35,44,51,0,67,76
13,Metropolitana,13122,Peñalolén,0,31,46,54,65,0,78,98,131,137,0,162,187,209,254,0,322,404
13,Metropolitana,13202,Pirque,0,-,2,2,4,0,4,9,10,12,0,13,14,16,19,0,30,43
13,Metropolitana,13123,Providencia,0,82,87,94,104,0,115,129,136,147,0,164,180,196,200,0,226,250
13,Metropolitana,13124,Pudahuel,0,17,25,32,44,0,52,67,78,88,0,103,118,137,167,0,233,288
13,Metropolitana,13201,Puente Alto,0,45,58,76,119,0,166,239,322,374,0,472,562,688,764,0,889,1129
13,Metropolitana,13125,Quilicura,0,17,29,33,51,0,57,79,94,101,0,112,129,164,236,0,423,546
13,Metropolitana,13126,Quinta Normal,0,21,25,35,41,0,57,69,84,105,0,125,149,172,194,0,262,306
13,Metropolitana,13127,Recoleta,0,17,23,32,44,0,52,61,73,81,0,107,126,174,226,0,398,602
13,Metropolitana,13128,Renca,0,9,14,18,19,0,22,28,42,50,0,70,82,107,131,0,185,255
13,Metropolitana,13401,San Bernardo,0,32,41,53,74,0,79,117,140,156,0,198,237,318,372,0,435,544
13,Metropolitana,13129,San Joaquín,0,13,24,28,36,0,42,52,58,68,0,84,101,118,149,0,183,267
13,Metropolitana,13203,San José de Maipo,0,-,2,2,3,0,3,4,4,4,0,4,4,7,8,0,12,23
13,Metropolitana,13130,San Miguel,0,25,32,39,49,0,56,69,86,97,0,111,131,152,173,0,213,255
13,Metropolitana,13505,San Pedro,0,-,-,-,-,0,-,-,0,0,0,0,1,2,2,0,8,10
13,Metropolitana,13131,San Ramón,0,-,6,9,9,0,12,18,20,27,0,32,42,66,90,0,144,220
13,Metropolitana,13101,Santiago,0,127,156,173,234,0,271,321,375,404,0,463,500,608,700,0,980,1294
13,Metropolitana,13601,Talagante,0,-,5,6,11,0,14,18,21,24,0,26,27,30,33,0,37,42
13,Metropolitana,13303,Tiltil,0,-,2,3,3,0,4,4,4,4,0,4,5,5,5,0,9,12
13,Metropolitana,13132,Vitacura,0,83,90,100,114,0,114,119,127,128,0,130,132,133,138,0,152,164
6,O’Higgins,6302,Chépica,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6303,Chimbarongo,0,-,2,2,2,0,2,2,2,4,0,4,2,2,2,0,2,2
6,O’Higgins,6102,Codegua,0,-,-,-,-,0,-,-,0,0,0,0,1,1,1,0,2,2
6,O’Higgins,6103,Coinco,0,-,-,-,-,0,-,-,0,0,0,0,0,1,1,0,1,1
6,O’Higgins,6104,Coltauco,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6105,Doñihue,0,-,-,-,-,0,-,-,0,0,0,0,0,1,1,0,2,2
6,O’Higgins,6106,Graneros,0,-,-,-,-,0,-,-,0,0,0,0,0,2,2,0,2,2
6,O’Higgins,6202,La Estrella,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6107,Las Cabras,0,-,-,-,-,0,-,-,0,1,0,1,1,3,3,0,4,10
6,O’Higgins,6203,Litueche,0,-,-,-,-,0,-,-,0,0,0,0,0,1,3,0,7,8
6,O’Higgins,6304,Lolol,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6108,Machalí,0,-,6,7,8,0,8,8,8,8,0,9,10,16,16,0,16,16
6,O’Higgins,6109,Malloa,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6204,Marchihue,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6110,Mostazal,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,1
6,O’Higgins,6305,Nancagua,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,1,1
6,O’Higgins,6205,Navidad,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,2,2
6,O’Higgins,6111,Olivar,0,-,1,2,2,0,2,3,6,7,0,7,6,6,6,0,6,6
6,O’Higgins,6306,Palmilla,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6206,Paredones,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6307,Peralillo,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6112,Peumo,0,-,-,-,1,0,1,1,1,1,0,1,1,1,1,0,2,2
6,O’Higgins,6113,Pichidegua,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6201,Pichilemu,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6308,Placilla,0,-,1,1,1,0,1,1,1,2,0,2,1,1,1,0,1,1
6,O’Higgins,6309,Pumanque,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
6,O’Higgins,6114,Quinta de Tilcoco,0,-,2,2,2,0,2,2,3,3,0,3,1,1,1,0,1,1
6,O’Higgins,6101,Rancagua,0,7,7,9,15,0,15,15,15,15,0,15,22,28,32,0,38,45
6,O’Higgins,6115,Rengo,0,-,1,1,1,0,1,1,1,1,0,1,2,3,7,0,8,10
6,O’Higgins,6116,Requínoa,0,-,1,1,1,0,1,1,1,1,0,1,2,3,4,0,4,4
6,O’Higgins,6301,San Fernando,0,-,4,4,4,0,4,4,4,5,0,5,6,5,5,0,5,6
6,O’Higgins,6117,San Vicente,0,-,1,4,4,0,4,4,4,4,0,4,4,4,4,0,8,9
6,O’Higgins,6310,Santa Cruz,0,-,-,-,1,0,2,2,2,2,0,2,1,2,2,0,2,2
7,Maule,7201,Cauquenes,0,-,1,3,4,0,4,4,4,4,0,8,10,12,13,0,13,13
7,Maule,7202,Chanco,0,-,-,-,-,0,-,-,0,0,0,0,2,2,3,0,3,3
7,Maule,7402,Colbún,0,-,4,4,5,0,5,5,5,5,0,6,5,6,6,0,6,6
7,Maule,7102,Constitución,0,-,1,3,3,0,5,5,5,4,0,11,11,18,19,0,21,23
7,Maule,7103,Curepto,0,-,-,-,-,0,2,3,3,3,0,3,7,8,8,0,8,8
7,Maule,7301,Curicó,0,6,8,11,13,0,13,17,20,23,0,24,31,31,37,0,45,45
7,Maule,7104,Empedrado,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
7,Maule,7302,Hualañé,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
7,Maule,7303,Licantén,0,-,-,-,-,0,-,-,0,0,0,1,2,2,2,0,2,2
7,Maule,7401,Linares,0,4,6,10,11,0,12,13,13,13,0,15,22,22,24,0,27,27
7,Maule,7403,Longaví,0,-,1,1,2,0,2,2,2,2,0,3,3,4,4,0,4,4
7,Maule,7105,Maule,0,-,2,2,2,0,3,3,4,5,0,10,13,22,22,0,23,23
7,Maule,7304,Molina,0,-,3,3,3,0,3,3,3,3,0,4,5,7,7,0,7,7
7,Maule,7404,Parral,0,4,3,3,3,0,4,5,6,6,0,6,6,9,9,0,9,9
7,Maule,7106,Pelarco,0,-,-,-,-,0,-,-,3,3,0,5,5,5,5,0,5,5
7,Maule,7203,Pelluhue,0,-,1,1,1,0,1,1,1,1,0,1,1,2,2,0,2,2
7,Maule,7107,Pencahue,0,-,-,-,-,0,-,-,0,0,0,1,2,3,3,0,3,3
7,Maule,7305,Rauco,0,-,-,1,1,0,1,2,2,2,0,2,2,2,2,0,2,2
7,Maule,7405,Retiro,0,-,-,-,-,0,-,-,1,1,0,2,2,1,1,0,1,1
7,Maule,7108,Río Claro,0,-,1,1,1,0,2,3,3,3,0,6,6,7,7,0,8,9
7,Maule,7306,Romeral,0,-,2,2,2,0,2,3,3,4,0,5,12,13,13,0,13,13
7,Maule,7307,Sagrada Familia,0,-,-,-,1,0,1,1,1,1,0,1,1,2,2,0,2,2
7,Maule,7109,San Clemente,0,-,-,-,-,0,-,-,0,0,0,4,7,9,9,0,10,10
7,Maule,7406,San Javier,0,-,1,1,7,0,7,8,8,9,0,11,16,20,20,0,23,23
7,Maule,7110,San Rafael,0,-,-,1,1,0,1,1,2,2,0,2,2,3,3,0,3,3
7,Maule,7101,Talca,0,34,37,42,48,0,51,51,51,57,0,91,133,145,149,0,160,162
7,Maule,7308,Teno,0,-,-,-,-,0,-,1,1,1,0,1,2,2,2,0,4,4
7,Maule,7309,Vichuquén,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
7,Maule,7407,Villa Alegre,0,-,-,-,-,0,-,-,0,0,0,0,1,1,2,0,2,2
7,Maule,7408,Yerbas Buenas,0,-,-,-,-,0,-,-,0,0,0,0,1,1,1,0,2,2
16,Ñuble,16102,Bulnes,0,12,18,32,36,0,45,48,48,48,0,48,54,59,60,0,62,72
16,Ñuble,16101,Chillán,0,114,173,240,291,0,327,342,355,373,0,387,395,411,405,0,414,415
16,Ñuble,16103,Chillán Viejo,0,13,22,26,30,0,34,40,44,45,0,45,49,52,55,0,55,55
16,Ñuble,16202,Cobquecura,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
16,Ñuble,16203,Coelemu,0,-,1,2,3,0,4,4,4,4,0,4,4,4,4,0,4,4
16,Ñuble,16302,Coihueco,0,-,3,3,6,0,7,8,11,11,0,14,21,24,25,0,40,42
16,Ñuble,16104,El Carmen,0,-,2,2,2,0,3,3,3,3,0,3,3,3,3,0,3,3
16,Ñuble,16204,Ninhue,0,-,-,-,-,0,1,1,2,3,0,3,4,4,4,0,4,4
16,Ñuble,16303,Ñiquén,0,-,-,-,-,0,2,2,2,2,0,2,3,3,3,0,3,3
16,Ñuble,16105,Pemuco,0,-,-,-,2,0,3,3,4,4,0,4,5,5,6,0,6,6
16,Ñuble,16106,Pinto,0,-,2,6,9,0,10,10,10,10,0,10,11,11,12,0,12,12
16,Ñuble,16205,Portezuelo,0,-,-,-,-,0,-,-,1,0,0,0,0,0,0,0,0,0
16,Ñuble,16107,Quillón,0,4,7,15,17,0,22,22,23,23,0,24,26,26,28,0,30,32
16,Ñuble,16201,Quirihue,0,-,-,-,1,0,4,4,4,2,0,3,3,4,4,0,4,4
16,Ñuble,16206,Ránquil,0,-,1,5,7,0,9,9,10,9,0,9,9,9,10,0,10,10
16,Ñuble,16301,San Carlos,0,8,13,13,19,0,28,29,31,31,0,31,32,34,34,0,35,36
16,Ñuble,16304,San Fabián,0,-,5,6,6,0,6,6,6,6,0,6,6,7,8,0,8,8
16,Ñuble,16108,San Ignacio,0,-,1,3,6,0,6,6,6,4,0,4,4,5,6,0,8,10
16,Ñuble,16305,San Nicolás,0,-,2,4,10,0,11,12,12,14,0,14,14,14,16,0,16,14
16,Ñuble,16207,Treguaco,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
16,Ñuble,16109,Yungay,0,-,7,10,26,0,37,38,42,42,0,45,46,46,48,0,52,55
8,Biobío,8314,Alto Biobío,0,-,-,-,-,0,-,-,0,1,0,1,1,0,0,0,0,0
8,Biobío,8302,Antuco,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
8,Biobío,8202,Arauco,0,-,5,6,6,0,6,6,6,5,0,6,6,6,6,0,6,6
